id,predicted_price
54273,38976.03
54274,38768.46
54275,36386.133
54276,37713.22
54277,40015.34
54278,39419.508
54279,38948.6
54280,39318.65
54281,38262.844
54282,38486.453
54283,37195.17
54284,39485.633
54285,36542.23
54286,38739.67
54287,39505.484
54288,39805.453
54289,38925.93
54290,38736.4
54291,39199.125
54292,40300.47
54293,39644.12
54294,35125.797
54295,39113.38
54296,40154.797
54297,31894.086
54298,34523.08
54299,39188.816
54300,38305.625
54301,38953.97
54302,38843.062
54303,38824.312
54304,39223.773
54305,33894.605
54306,38471.875
54307,39321.83
54308,34343.875
54309,38776.1
54310,39519.43
54311,33897.043
54312,37893.773
54313,36280.348
54314,38448.848
54315,36631.055
54316,39389.633
54317,39528.883
54318,34434.637
54319,39100.703
54320,36274.688
54321,38945.734
54322,38915.215
54323,39298.63
54324,38179.68
54325,38469.28
54326,37010.285
54327,39255.516
54328,38493.52
54329,37376.266
54330,39151.082
54331,38783.133
54332,37537.082
54333,31518.79
54334,39408.473
54335,39509.54
54336,36639.93
54337,35708.105
54338,38146.906
54339,37124.387
54340,39160.62
54341,39165.656
54342,40077.14
54343,38611.11
54344,36265.67
54345,34844.004
54346,37002.234
54347,37788.082
54348,36388.688
54349,38684.93
54350,35628.375
54351,38209.285
54352,38339.39
54353,38895.93
54354,39491.58
54355,38140.688
54356,39066.34
54357,38115.844
54358,37365.29
54359,38557.184
54360,38436.758
54361,37802.51
54362,42538.195
54363,38540.297
54364,38548.36
54365,39492.277
54366,37844.418
54367,36051.32
54368,38393.75
54369,39166.73
54370,38222.58
54371,37456.36
54372,38801.0
54373,32338.32
54374,37451.508
54375,39230.395
54376,39902.508
54377,38811.656
54378,37745.484
54379,38167.277
54380,37470.83
54381,39008.54
54382,38596.406
54383,39883.992
54384,38925.605
54385,39593.1
54386,43419.13
54387,36118.105
54388,38874.035
54389,37790.66
54390,39554.29
54391,38428.793
54392,38213.977
54393,39400.73
54394,39120.7
54395,36600.555
54396,38905.14
54397,41552.14
54398,38844.17
54399,39405.406
54400,36903.266
54401,39894.85
54402,38599.297
54403,38551.254
54404,39700.977
54405,36884.34
54406,38490.07
54407,37424.805
54408,37209.605
54409,38003.1
54410,39976.03
54411,35704.164
54412,38212.445
54413,38859.355
54414,38097.367
54415,39934.414
54416,35222.332
54417,36690.316
54418,39199.574
54419,38601.59
54420,38989.312
54421,36696.547
54422,38780.406
54423,37188.75
54424,38234.48
54425,35928.1
54426,38237.156
54427,39214.24
54428,39619.723
54429,39201.418
54430,35745.234
54431,34123.61
54432,37519.805
54433,39016.18
54434,38987.195
54435,39858.65
54436,36872.95
54437,38578.14
54438,39315.875
54439,39105.547
54440,39804.945
54441,37643.453
54442,30871.096
54443,36978.96
54444,38792.05
54445,37950.33
54446,39960.312
54447,39401.918
54448,37519.453
54449,37438.016
54450,39535.71
54451,39630.684
54452,37489.734
54453,39067.9
54454,38184.945
54455,39972.426
54456,38286.58
54457,40053.02
54458,37845.71
54459,38917.1
54460,39839.383
54461,39067.953
54462,37044.105
54463,39373.1
54464,37590.785
54465,38910.87
54466,39389.516
54467,42043.72
54468,38644.5
54469,39421.965
54470,38159.043
54471,35617.438
54472,38342.21
54473,38485.625
54474,38907.992
54475,39249.25
54476,38994.332
54477,39369.004
54478,38269.33
54479,38211.516
54480,38886.836
54481,36804.05
54482,39161.53
54483,38783.492
54484,37012.086
54485,39106.99
54486,38539.734
54487,37357.234
54488,36972.047
54489,39112.754
54490,38726.695
54491,36386.33
54492,39968.914
54493,39555.164
54494,38164.414
54495,36475.55
54496,40031.51
54497,36258.367
54498,39222.844
54499,39217.91
54500,38751.164
54501,36438.14
54502,38329.96
54503,39594.098
54504,38063.72
54505,39788.234
54506,38072.504
54507,39008.535
54508,38255.312
54509,38830.18
54510,35725.82
54511,36840.234
54512,39514.3
54513,39355.027
54514,37606.082
54515,35866.223
54516,38162.14
54517,39817.03
54518,37829.61
54519,37529.688
54520,39437.17
54521,39644.688
54522,36484.527
54523,37586.562
54524,35836.625
54525,38363.656
54526,38729.574
54527,37727.91
54528,41031.367
54529,38866.67
54530,35518.03
54531,34286.195
54532,38458.66
54533,36881.555
54534,38899.758
54535,38841.992
54536,39026.36
54537,38940.484
54538,37763.156
54539,40223.52
54540,40211.305
54541,39201.57
54542,38907.31
54543,38190.523
54544,37867.633
54545,40215.19
54546,37745.184
54547,39456.812
54548,37495.242
54549,35576.62
54550,40301.65
54551,38847.402
54552,41566.734
54553,38181.008
54554,39333.043
54555,38012.855
54556,39435.734
54557,40497.227
54558,40895.902
54559,39380.105
54560,36567.52
54561,38162.93
54562,36485.156
54563,36092.91
54564,41237.6
54565,38164.5
54566,38992.13
54567,38116.062
54568,37800.918
54569,38418.28
54570,35448.348
54571,38979.15
54572,36277.25
54573,26968.7
54574,33195.93
54575,38822.04
54576,39090.14
54577,38818.08
54578,39983.03
54579,39344.805
54580,36987.64
54581,36997.266
54582,37474.805
54583,39942.38
54584,34563.04
54585,39405.684
54586,37446.83
54587,38012.93
54588,39169.32
54589,38467.477
54590,37038.82
54591,38683.047
54592,34531.242
54593,38510.31
54594,37577.055
54595,39476.383
54596,37857.07
54597,37241.38
54598,37533.754
54599,38126.82
54600,38676.918
54601,38620.953
54602,37146.145
54603,35835.754
54604,38523.047
54605,38323.547
54606,35236.117
54607,39684.305
54608,39721.75
54609,36981.74
54610,37789.605
54611,39488.254
54612,35919.51
54613,39198.164
54614,36866.156
54615,37349.54
54616,38980.035
54617,31148.625
54618,38836.9
54619,44855.984
54620,39443.57
54621,37174.33
54622,39790.742
54623,38591.562
54624,38379.734
54625,37380.42
54626,41358.42
54627,39382.156
54628,38907.87
54629,36313.215
54630,36091.92
54631,38299.52
54632,34687.887
54633,39720.758
54634,37551.43
54635,38529.17
54636,36357.547
54637,39762.773
54638,35778.273
54639,40142.83
54640,38458.97
54641,38651.477
54642,38330.152
54643,37532.65
54644,38555.17
